,English,Japanese,good_trans,original_language
36685,classic.,クラシック。,0,0
54877,Is there a lack of weapons? --The cut is irregularly bent.,凶器に欠けは? - 切り口は 不規則に曲がってるわ,0,1
35882,any time we want.,いつでも好きなときに。,0,0
41043,Help! Please come early!,助けて! お願い早く来て!,0,1
30357,hmm what?,うーん何？,0,0
33334,"this is, uh, aimee finecky. i don't know if you guys know her.",これは、ええと、エイミーは元気です。あなたたちが彼女を知っているかどうかはわかりません。,0,0
10139,"crispina, breathe!",クリスピーナ 頑張って!,1,1
55413,4 people 1 person Rinna,4人か1人足りんな,0,1
59538,Clap your hands,手をたたいて,0,1
35989,"i i like you, aonumasan.",私は私はあなたが好きです、アオヌマさん。,0,0
55853,So today I would like to ask ted participants and audiences around the world.,そこで 本日 ted参加者と 世界中の聴衆の皆さんへの お願いです,0,1
19859,none at all.,出るはずがありません,1,1
10158,didn't account for the technical challenges.,技術的な問題は 加味されていないようだ,1,1
30553,"yeah. you're a regular ozzie and harriet, ain't ya?",うん。あなたは通常のオジーとハリエットですよね？,0,0
27454,i know it was a hard decision to make. thank you.,難しい決断だったと思います。ありがとうございました。,0,0
50477,After leaving ucla I moved from Los Angeles to Northern California,uclaを出た後 私はロスから 北カリフォルニアへと引越し,0,1
52756,I'm really sick of it,本当にうんざりしますよ,0,1
1117,it's essentially a general purpose computing device,それは基本的には 汎用計算装置で,1,1
4353,father?,父ちゃん? 父さん。,1,1
32797,but what if,しかし、もし,0,0
21235,so here i was in 2008,だからここで私は2008年にいました,0,0
58791,Are you involved?,関係者ですか?,0,1
22594,"and then i don't know, you tell me, things went south",そして私は知りません、あなたは私に言います、物事は南に行きました,0,0
46,i'm starting to feel stupid for agonizing over it.,何か 悩むんが アホらしゅうなって来たわ。,1,1
6169,"it's me, frank.",それをゆっくり説明しよう さあ,1,1
35446,i don't know what i have left to give you.,私はあなたに与えるために私が残したものを知りません。,0,0
58721,It's small,小っちゃいね,0,1
49888,Has fought for years with one of the most terrifying human enemies,最も恐ろしい人類の敵の一つと 何年にも渡り 戦って来ました,0,1
22576,where am i to send him?,彼をどこに送るの？,0,0
13457,"jon, thank you. thank you, bruno.",ブルーノ:ありがとう ジョン:ありがとう,1,1
22906,"in half a year, while i was gone",半年で、私がいなくなった間,0,0
22568,my dumplings!,私の餃子！,0,0
41388,Did you get close to him?,彼と親しかった?,0,1
9367,so without gps,gpsなしでは,1,1
35750,but this distress signal who could have sent it?,しかし、この遭難信号誰がそれを送ったのだろうか？,0,0
26160,"alright, vince. strap up. let's see what's down there.",よし、ヴィンス。ストラップを締めます。そこに何があるか見てみましょう。,0,0
20615,we will guide you from there.,そこからご案内します。,0,0
1844,"mate, why have you got danny's skateboard?",なんでダニーのスケートボードを おまえが持ってる?,1,1
47088,Are your parents still in Chechnya?,両親はまだチェチェンに?,0,1
5548,you look outside: you have all that beauty that you see,外には美しい景色が広がってますし,1,1
24267,sorry to interrupt. it's okay.,お邪魔してしまい申し訳ありません。大丈夫。,0,0
29918,is look up on the list,リストで検索しています,0,0
37055,he getting up.,彼は起き上がる。,0,0
49210,Just like the personal computer around 1978-1980,丁度 1978年から1980年あたりの パソコンがそうであったように,0,1
50633,Yeah but more will come out,ええ でももっと出てくるわ,0,1
58071,Angie,アンジー,0,1
20043,uh yeah,ええとええ,0,0
20140,"brenda, hand me that pen.",ブレンダ、そのペンを私に渡してください。,0,0
36067,rice cake. would you like a piece?,おもち。作品はいかがですか？,0,0
57,"yes, sir. listen.",蛭間病院長に聞きなさい!,1,1
7476,thanks for helping mom out.,ありがとう 母さんを助けてくれて,1,1
24218,time for a little search and rescue.,少しの捜索と救助のための時間。,0,0
1497,is it much further?,遠いの?,1,1
8970,but inside?,中ではなかったか?,1,1
36670,but how do we actually get that done?,しかし、実際にそれをどのように行うのでしょうか？,0,0
35214,in their 20s when it was cloudy in bangladesh.,バングラデシュが曇っていた20代。,0,0
19518,you could not.,出来ないわ!,1,1
45978,Did you see everyone?,皆を見たか?,0,1
28633,and that came to unfold in the three stages,そしてそれは3つの段階で展開するようになりました,0,0
32862,you have something that's mine.,あなたは私のものを持っています。,0,0
2243,we have a situation.,我每天都有穿着!,1,1
45878,The rebels are coming!,反乱軍が来てます!,0,1
43510,Rider kick!,ライダーキック!,0,1
36272,go! move!,行く！動く！,0,0
20388,"in other words, you weren't sure if they didn't detonate",言い換えれば、彼らが爆発しなかったかどうかはわかりませんでした,0,0
57910,I'm Dr. Vodka Martini.,博士 ウォッカマティーニです,0,1
2699,"yes, captain?",はい、大佐?,1,1
27733,and so you have here a little example,だからあなたはここに小さな例があります,0,0
24656,randall!,ランドール！,0,0
20400,instant hole.,インスタントホール。,0,0
2939,it's the only way we can be together.,一緒にいるための 唯一の道なんだ,1,1
1027,i feel like i've been tossed from a moving car.,走ってる車から 投げ出されたような気分だわ,1,1
8132,you graduated.,君は卒業だ,1,1
38306,and that corresponds to a single ion channel.,これは単一のイオンチャネルに対応します。,0,0
28316,what do you think of dr. wells?,博士についてどう思いますか。井戸？,0,0
20987,the deadline's just past,締め切りが過ぎました,0,0
34526,you're gonna blow the roof.,あなたは屋根を吹き飛ばすつもりです。,0,0
1168,oops.,あ,1,1
31992,"let's see, such as my street juggling, for example.",たとえば、私のストリートジャグリングなどを見てみましょう。,0,0
13985,"no, you're not coming.",お前は来るな,1,1
57224,When do you just want to talk to resolve the previous misunderstanding?,先の誤解を解決するために話したいだけだ いつ?,0,1
51674,Can you promise me?,約束してくれるな?,0,1
40641,Judge anything,何でもさばくって,0,1
29035,we are really very sorry,本当にごめんなさい,0,0
3980,"i don't know, you're the expert.",僕にはわからない あなたは専門家だ,1,1
47419,And This is a quick end,と[こガく早く終ゎl丿たl,0,1
42005,Mingru will tell Dinedy the story Helping his life in the right way,ミングルーはダインディにその物語を するだろう ふさわしいやり方で彼の生活を助ける,0,1
42106,Do you want that?,アレが欲しいのか?,0,1
16076,i saw my first commercially available kurzweil,1989年の3月に 商用化されたカーツワイル朗読機に,1,1
342,i'm going to see to it that not a,藍染に聞いてみないことには。,1,1
58007,"At this point, the lender is pretty skeptical.",現時点で 貸し付け側は かなり疑心暗鬼でしょう。,0,1
17034,you died two years ago.,あなたは2年前に死んだの,1,1
3534,who sent you?,誰の命令だ?,1,1
2603,who wants to be the boss?,どっちがボスだ?,1,1
33461,"if you ask me, warm blood is the problem.",あなたが私に尋ねるなら、温血が問題です。,0,0
4048,wedding anniversary tonight.,あっ。 今日は 初めての 結婚記念日なんです。,1,1
43453,Are you alcoholic?,アルコール依存症なの?,0,1
44262,"But anyway, I just run hard.",でも とにかく ひたすら 一生懸命 走るんです。,0,1
7416,i can afford it.,これくらいは大丈夫,1,1
41158,I will call you when you leave here,ここを出たら 僕が呼ぶ,0,1
37123,it's your funeral.,それはあなたの葬式です。,0,0
48679,Opposition movement turned around and in a festive mood New York City screamed Anna stopped withdrawing from Earth,反対運動が一転して祝賀ムードに NY市では歓喜の声が 「アンナは地球撤退を中止」,0,1
35808,"which is, frankly",つまり、率直に言って,0,0
16290,out of this world.,この世の物とは思えん,1,1
51712,It seems that something happened at school,学校で何かあったらしい,0,1
50975,Kelvin is later Massive Dynamic,ケルビンは のちの マッシブ・ダイナミックよ,0,1
38418,you lost on purpose.,あなたは故意に負けました。,0,0
20794,it's all about making connection.,それはすべて接続を確立することです。,0,0
12430,"i accessed mr. thornhill's cell phone records, and according to the gps data, was near columbus circle two days ago.",ミスターソーンヒルの 携帯電話に接続して GPSデータによれば 2日前 コロンバスサークルの近くにいた,1,1
18287,"haven't seen her yet, though.",まだ見てねぇけどな。,1,1
7343,"you know, it leaves me no choice but to do things that hurt you.",何しても 君を傷つけてしまう,1,1
7732,i was so naive then,あの頃の俺は まだまだ可能性に,1,1
14584,do you hear that i'm ready to talk. i'll tell you anything you want to know!,話すよ、知りたいことは何でも話す!,1,1
35324,it's not saul i'm worried about.,心配しているのはソールではありません。,0,0
26469,we don't rob people.,人を奪うことはありません。,0,0
23640,you know you're only causing us trouble.,あなたはあなたが私たちに問題を引き起こしているだけだということを知っています。,0,0
40839,"Will I kill you too, or will you kill me when I'm done with Bauer?",私も殺す気か、バウアー 用が済んだら私を殺す気だろ,0,1
45015,It has raised some unreasonable concerns that you may feel in the built-in.,内蔵で感じるような理屈抜きの懸念を呼び起こしてきたし,0,1
53918,Grace Hendrix Who is it exactly?,グレース・ヘンドリックス 厳密には誰ですか?,0,1
30498,sheryl's told me a lot about you.,シェリルはあなたについてたくさん教えてくれました。,0,0
23378,okay thanks!,大丈夫ありがとう！,0,0
39092,lt's dru.,それはdruです。,0,0
47851,very?,本当に?,0,1
49528,The creatures that grew up in the reserve,保護区内で育った生物は,0,1
59882,I still don't think it's a bad relationship,今も悪い関係とは思えなくて,0,1
23587,"by the way, we had half the budget of the other western nations.",ちなみに、私たちは他の西側諸国の半分の予算を持っていました。,0,0
4004,"even though, i don't like it, so quit your job!",でも ヤダから お仕事 辞めて!,1,1
2611,what the hell are you doing here?!,もう 何やってんですか 遅いですよ。,1,1
34827,i'm talking about the murder of iizuta yoshihiro.,飯津田義弘の殺害について話している。,0,0
58179,That's the problem,それが問題なの,0,1
52517,Did you stay? Wait a minute.,留まった? ちょっと待って。,0,1
51880,I'm not afraid of her,彼女を恐れてはいません,0,1
47438,What do you do?,で どうする?,0,1
36537,"oh. well, you were right.",おお。まあ、あなたは正しかった。,0,0
39823,china and japan,中国と日本,0,0
19690,that feels so good!,そうか 気持ちいいのか。,1,1
40613,Customers rush,お客が押し寄せる,0,1
47673,To replace the battery until eva,evaまではバッテリーの交換に,0,1
10189,let me know how it goes.,進捗報告を頼む,1,1
32873,die from it many years later,何年も後にそれで死ぬ,0,0
52745,Murray will win You can call me right away at 52-48,マレーが勝つでしょう 52〜48で すぐに電話して頂いても結構です,0,1
56539,What did you say?,なんて言うんだった?,0,1
16162,i can't do sex.,セックスは無理だし,1,1
47876,You knew you would meet that kind of thing if you were there,そこにいれば そういう目に会うのはわかってたはず,0,1
7702,or directly heard?,直接 話を聞いたのか?,1,1
35543,he's lost his cool!,彼は冷静さを失った！,0,0
4738,it was a parasailing accident.,パラセーリングの時の 事故でした,1,1
53033,I helped with the decoration,飾り付けの お手伝いをしたの,0,1
36964,so can we,だから私たちは,0,0
18009,cash is buried in the field. i'm sharing my own secret with you.,畑の中に現金が埋まってんの。 あんたと私だけの秘密だよ。,1,1
36224,we start paying you money,私たちはあなたにお金を払い始めます,0,0
42654,Thank you very much for the valuable information.,貴重な情報を ありがとうございます。,0,1
45089,No no no. I don't mean that,いや いや いや。 そんなつもりは ない。,0,1
22860,heres how shape works in normal receptors.,ここでは、通常の受容体で形状がどのように機能するかを説明します。,0,0
40127,The Kirsterk family is a Northerner,カースターク家は北方人です,0,1
39860,i found something by chance.,たまたま何か見つけました。,0,0
633,designers talk about the relationship between form,デザイナーは形式と内容の 関係に注目します,1,1
40520,This is a designer's work,これはデザイナーの作品です,0,1
670,my brother is in town with james.,俺の兄弟はジェームスと街にいるはずだよ,1,1
50852,If you saw it,見たんだってば,0,1
27051,get some rest.,少し休む。,0,0
18869,kabul is fine.,カブールは大丈夫です,1,1
26944,let's get ready.,準備しましょう。,0,0
50443,It hurts Darian,痛いよ ダリアン,0,1
27996,he thought he could distinguish a figure standing there,彼はそこに立っている人物を区別できると思った,0,0
37106,this is the police.,これは警察です。,0,0
2069,"this is an illusion, and even though",これは見当違いで,1,1
50648,Moses may know,モーゼは知ってるかもしれない,0,1
8050,were there subpopulations?,分集団はあるのか?,1,1
25762,she'll love that. kids love to bounce up and down.,彼女はそれを気に入るはずです。子供たちは上下にバウンドするのが大好きです。,0,0
57697,At least i don't know anymore,最低 もう知らない,0,1
54379,Did you come by that plane?,あの飛行機で 来たのか?,0,1
48365,The company wasn't as big as it is now,会社は 今みたいに でかくなかったけど,0,1
12319,i set up a directional mic near the band shell.,やってみよう 音楽堂の近くに 指向性マイクをセットしてみた,1,1
51771,The tress team should be free,トレスのチームが 空いてるはずだ,0,1
57383,Just before Christmas last year,ちょうど昨年のクリスマス前のことで,0,1
23805,no. the king will have 20 children and you will have three.,番号。王には20人の子供がいて、あなたには3人の子供がいます。,0,0
15099,[we are],上等だよ クソババア!,1,1
48986,Reference number 1 -10 -5,整理番号 1 -10 -5,0,1
50938,"My brother wants to save his companion, so he hands you over to the enemy",弟は仲間を救いたいから お前を敵に引き渡すんだ,0,1
1414,it did happen.,幻覚じゃなかった,1,1
29135,sounds like it has something to do with those three dots she's been after.,彼女が追い求めてきた3つの点と関係があるようです。,0,0
39699,what happened in this dream of yours?,あなたのこの夢で何が起こったのですか？,0,0
47025,It's a hula hoop,フラフープだ,0,1
4221,pretty sure they'll object to that.,納得しないだろう,1,1
15717,what? thanks for the cake,何? ケーキのお礼,1,1
31976,and you think we're the ones?,そして、あなたは私たちのものだと思いますか？,0,0
10731,you even get a uniform.,制服も支給されるんですよ,1,1
35627,this past christmas?,この過去のクリスマス？,0,0
12627,"uhhuh, so what do they call you?",フーン 何て呼ばれてるの?,1,1
2960,sugar?,シュガー?,1,1
21031,"it's like boogeremia, basically.",基本的にはブーゲレミアのようなものです。,0,0
28479,"i hope you don't take this the wrong way, but you seem like such a conventional married couple.",私はあなたがこれを間違った方法でとらないことを望みます、しかしあなたはそのような普通の夫婦のように見えます。,0,0
27254,oh no.,大野。,0,0
21661,perhaps you and i might have a word in private.,たぶんあなたと私はプライベートで一言あるかもしれません。,0,0
56844,Are you going to continue investigating us? The police.,我々に対する調べを 続けるつもりかね? 警察は。,0,1
10194,a longing to return to the past.,過去へ戻りたいという切望だ,1,1
19918,"the fact of the matter is, there was a bug in len pontecorvo's home.",現実の問題として レン・ポンテコーヴァの家には 盗聴器があった,1,1
46109,Philip cooperated,フィリップが協力してくれたのは,0,1
42359,Oh ~ It's excellent.,お~ 優秀だねえ。,0,1
43773,come. Our work is piled up.,来なさい。 私たちの仕事が山積みだ。,0,1
33552,"stop it, cam.",やめて、カム。,0,0
615,"well, with an army behind you, you could be extremely political.",さて、あなたの後ろに軍隊で、あなたは非常に政治的である可能性があります。,1,1
58266,Early Kobato,早いな 小鳩,0,1
32642,"by historic standards. so today, we get exercised and rightly so",歴史的な基準による。だから今日、私たちは運動し、当然そう,0,0
42543,Separately-existing black sword,別在天黑之前就開始喝酒啊 保鏢,0,1
34823,"i mean, take the question of east asia.",つまり、東アジアの問題を取り上げてください。,0,0
4661,is probably your neighbor's car,近所の人の車でしょうし,1,1
38132,"i mean, we justjust get out of the way?",つまり、私たちは邪魔にならないだけですか？,0,0
4911,i'll come with you. we can see your friend together.,私も一緒に 友達のところへ行く,1,1
36052,even after you've kept the weight off,体重を抑えた後でも,0,0
56122,When shrinking forever your memory,縮小するときに 永遠に 君の記憶も,0,1
35838,you going after cavendish?,あなたはキャベンディッシュを追いかけますか？,0,0
5941,"now, he dies of an od?",麻薬で死んだ?,1,1
34269,how have you been doing?,調子はどう？,0,0
35371,i'm really not.,私は本当にそうではありません。,0,0
26870,mmm. that makes you way less creepy.,うーん。それはあなたをずっと不気味にします。,0,0
33763,i invented this so that i don't have to steal.,盗む必要がないようにこれを発明しました。,0,0
10985,lying?,だから 嘘なんて,1,1
55401,Did you say you rented camping equipment? From your neighborhood,キャンプ道具を借りたと 言われましたね? ご近所から,0,1
59208,Do you live in Milwaukee?,ミルウォーキーにお住まい?,0,1
33603,i can't leave him.,私は彼を離れることができません。,0,0
19761,"i can't yup, it's almost done.",うぅ もうダメだ! はい 戻すぞ。,1,1
48119,"I have a story, so can I go now?",話あるから これから行っていい? えッ!?,0,1
8796,"grace, everything isn't your fault.",グレース すべてが君の責任というわけじゃない,1,1
34867,i took a beating for my father. i lost for him.,私は父を殴打した。私は彼のために負けました。,0,0
51054,"You're done, right?",終ったのね?,0,1
58989,Hotaro Maybe this,奉太郎 これってもしかして,0,1
47270,help me,助けてくれ,0,1
25814,"in may 2009, general kevin chilton",2009年5月、ケビン・チルトン将軍,0,0
36428,we all are.,われわれは皆。,0,0
49290,Embrace her,彼女を抱いて,0,1
22333,"unexpected item in bagging area, please try again.",袋詰めエリアに予期しないアイテムがありますので、もう一度お試しください。,0,0
49345,2048 AD,西暦2048年,0,1
9693,we're outlaws. outlaws steal.,俺達は無法者だからな 無法者の盗人,1,1
3708,two of my men were killed in the embassy explosion.,仲間が2名大使館の爆発で死んだ,1,1
31838,i will be the president.,私が社長になります。,0,0
2093,i missed god's pr esence.,神に止められてるの,1,1
14949,and it's called floating memories.,「浮遊する記憶」です,1,1
39097,"and suddenly you say, wow, it's way more complicated than we thought it was.",そして突然、あなたは、すごい、それは私たちが思っていたよりもずっと複雑だと言います。,0,0
39431,"they got to you first, but they've underestimated how important you are.",彼らは最初にあなたにたどり着きましたが、彼らはあなたがどれほど重要であるかを過小評価してきました。,0,0
36046,or reagan and gorbachev.,またはレーガンとゴルバチョフ。,0,0
30308,might be a problem.,問題があるかもしれません。,0,0
34204,you wouldn't want to disturb the company's harmony!,あなたは会社の調和を乱したくないでしょう！,0,0
11354,cause you're gonna make a phone call for us. get us close to him.,電話をかけろ 私たちは彼に近づく,1,1
41724,Is that the word you say to your father?,それが 父親に向かって言う言葉か。,0,1
23935,i feel it in my knees. my knees never lie.,ひざまずいて感じます。私の膝は決して嘘をつきません。,0,0
8389,a normal sailing boat has a centerboard here,普通のヨットでは 真ん中に垂下竜骨と,1,1
17532,i got this!,私に任せて!,1,1
34726,why do you hate it so much? what made you hate it so much?,どうしてそんなに嫌いなの？どうしてそんなに嫌いだったの？,0,0
31599,and it should come as no surprise,そしてそれは当然のことです,0,0
10105,that's not fair! why didn't you think it was me !?,卑怯だぞ! なぜ私に向かってこない!?,1,1
17741,how did you get in here?,どうやって手に入れた?,1,1
7082,and at some point all of us need to go out into the world,私達は誰しも ある時に 新しい発見と探検の為に,1,1
882,wilson!,ウィルソン?,1,1
46471,Thanks. Geta hat!,どうも。 ゲタ帽子!,0,1
39546,they don't get along. we've,彼らは仲良くしません。私たちは,0,0
4863,who the world didn't think were interested.,疑問があふれ出てきました,1,1
31831,he's dead because the technology is so hackable.,テクノロジーがハッキング可能であるため、彼は死んでいます。,0,0
47860,It's okay because it's okay,いいよ 大丈夫だから,0,1
52097,If you get better results than that,それよりも よい結果が出た場合,0,1
42463,"No, call the sheriff",いえ 保安官を呼ぶ,0,1
1884,let's put that behind us.,このことは忘れよう,1,1
44855,Go down!,下がって!,0,1
48012,I got it,わかったわ,0,1
13738,because i need that clean passport.,綺麗なパスポートが 絶対に必要だ,1,1
48424,You said that uncle wasn't a bad guy,あのおじさんは悪い人じゃないって言ったでしょ,0,1
15547,"aren't you late, transfer student?",遅かったじゃない 転校生,1,1
42961,Stop and put out,止めて 出して,0,1
54212,Um wait a minute.,えっと ちょっと 待ってろ。,0,1
11848,you got a car?,君の車は?,1,1
2000,let's connect the public to this activity right on their iphone.,皆さんのiphoneで この活動に繋がってください,1,1
5793,whether she will really come back or not.,ホントに それで よかったのかなって。,1,1
15223,while it is going to be crushed by heavy pressure,重圧に押し潰されそうに なりながらも,1,1
53347,This is a very desirable genome,これが非常に望ましいゲノムで,0,1
38533,same kind the 13 monks used to save the tang emperor.,同じ種類の13人の僧侶が唐の皇帝を救うために使用しました。,0,0
50957,Obviously in those three cases,その3件においては 明らかに,0,1
57639,Doesn't it seem like that?,そんな風には思えませんよね?,0,1
54235,I want to see you in the summer,一夏に会いたい,0,1
41001,"I was also an expert witness, and I should have understood the outline of the facts. From there, someone figured out how to open the safe.",専門家の参考人もいたし 事実の概略もわかったはず そこから誰かが 金庫の開け方を導き出したんだ,0,1
6970,why am i here?,《どうして 僕は ここにいる》,1,1
23971,ms. konatu's store's,MS。コナツの店の,0,0
33557,"a last, safe place from the darkness.",暗闇からの最後の、安全な場所。,0,0
7590,do you read me?,! - 聞こえる?,1,1
52425,Do you really believe that you don't stool?,本当に大便しないと信じているのか?,0,1
41887,I will teach you. Next Sunday.,教えてあげる。 今度の日曜日。,0,1
29365,what kind of man have i become?,私はどんな人になりましたか？,0,0
22834,my husband doesn't help in that regard at all.,私の夫はその点で全く助けにはなりません。,0,0
16363,cars would run on gasoline,車はガソリンで走ったものさ,1,1
42559,No proof ｡,まさか 大した証拠もなしに,0,1
53607,"This guy is stupid, old man The camera crew came to kill me",コイツ等 馬鹿だぜ オヤジ カメラクルーが オレを殺すために来やがった,0,1
34513,what is it?,それは何ですか？,0,0
21117,you conjured him or he just appeared?,あなたは彼を想起させましたか彼はちょうど現れましたか？,0,0
19452,should we stop? no.,我々には止めることはできないさ,1,1
311,i can't disclose patient information.,患者の情報は漏らせないの,1,1
48163,Equal work wages are a matter worth fighting.,平等な仕事の賃金は闘う価値のある問題だ。」,0,1
57021,Was there nothing ?! is that you still a raw daughter?,何もなかった?! という事は そなた まだ生娘のままなのか?,0,1
43183,And this is a theater flyer,そして これは劇場のチラシだ,0,1
411,i'm not sick. i love you. i did it for you.,狂ってない 君のためにやった,1,1
54057,I don't say it's wrong.,僕は当てずっぽうは言わない。,0,1
7074,"who was in cambridge, that his father was now working on dna.",彼の父親がDNAの研究をしているという噂をはじめました,1,1
54865,I want to buy a blowjob shot for each of them,彼ら1人1人に フェラチオショットを買いたい,0,1
48876,nice shot,ナイスショット,0,1
14885,led to an infection in the cavernous sinus.,海綿静脈洞の感染を起こした,1,1
43213,Are you injured?,怪我してるのか?,0,1
5167,he's dead.,亡くなりました,1,1
20329,choose from the audience . yes!,聴衆から選ぶ.はい！,0,0
13921,have you interacted with anybody else today besides me ?,私以外の人間と 接触してないだろうな,1,1
37121,i'm gonna have him tell all and,私は彼にすべてを話してもらうつもりですそして,0,0
49386,If you think you can go around the world with likes and dislikes,好き嫌いで 世の中 渡っていけると思ったら,0,1
41643,It's just that I'm desperately unsightly.,ただね 絶望的に 目つきが悪いっていうだけで。,0,1
50328,Invite me,私を誘ってみて,0,1
18644,and that's the ratio in the u.k.,これがイギリスでの比率です。,1,1
28272,entry 224.,エントリ224。,0,0
21940,that angered two great people,それは2人の偉大な人々を怒らせました,0,0
24735,i wish i could stay and help you out with the chores.,私は滞在して雑用を手伝うことができればいいのにと思います。,0,0
14106,have lawton and the others prepped for surgery.,ロートンと他の人に 手術の準備をさせて,1,1
51851,When everyone thinks so,みんなそうだと思うと,0,1
11415,i do not seem to be following it anymore. i i can not walk either .,もう 追ってこないみたいね。 わ わし もう歩けん。,1,1
1983,"actually, there's, uh, there's something i wanted to tell you. hmm? what?",実は 君に話したいことがある なに?,1,1
11083,twin cities!,トゥイン・シティーズ!,1,1
35929,i was very conscious of this as i took part this year,今年も参加したので、とても意識していました,0,0
28144,i wanna help you save souls all the way to rome.,私はあなたが魂を救うのを手伝いたいローマまでずっと。,0,0
31015,"if you remember anything else, this is our number and where we're staying locally.",他に何か覚えているなら、これが私たちの番号であり、私たちが地元に滞在している場所です。,0,0
17339,challenged the research committee,「視覚障害者が安全に運転できる—,1,1
17919,"but what use are you, if you can't talk to me, yes?",話は、出来なくなるな,1,1
29259,"hey, there are cops inside, and they're looking for you.",ねえ、中に警官がいて、彼らはあなたを探しています。,0,0
46468,The next few minutes,これから数分間,0,1
5686,i plant one every chance i get.,チャンスがあれば植える,1,1
30673,things are about to get a bit hectic.,物事は少し忙しくなってきています。,0,0
31010,acknowledging that god is unknown and unknowable by definition.,神は定義上未知であり、未知であることを認める。,0,0
12398,you say companions.,仲間と言ったわね,1,1
58059,"But the problem isn't there, it's here.",でも、問題はそこではなく、こちらなんです。,0,1
35000,because there is no answer.,答えがないからです。,0,0
55131,The earliest work of car design,自動車デザインの最初期の作品,0,1
25029,i spilled my stew.,シチューをこぼした。,0,0
9527,i'm zhao erdou,私は趙二斗です,1,1
59279,"40 people, but not that long",40人とか でも それほど長い時間じゃない,0,1
10326,he's stopped moving!,奴の動きが止まった,1,1
25356,i have to get back to my work.,私は仕事に戻らなければなりません。,0,0
58112,Twitter shattered her life.,Twitterが彼女の人生を左右し 粉々にしたんですから,0,1
7679,you end up isolated,孤立してしまうのは,1,1
21782,no one will believe the future.,誰も未来を信じません。,0,0
43060,I didn't like that maid from the beginning,初めっから あのメイド 気に入らなかったのよ,0,1
9261,todd is right. forget cyril. he's harmless.,そうよ シリルは心配ないわよ,1,1
55509,When are you going to Ganta?,ね いつ行くの ガンタのとこ,0,1
56112,Because it was only a little when I was a kid,子供の頃 少しだけだから,0,1
27833,and the later developing ones?,そして後で開発するもの？,0,0
59790,"No, I haven't waited. I see.",いや 別に待ってなどいない。 あっ そう。,0,1
42396,I should be concerned,懸念するべきだと,0,1
3997,last withdrawal was five days ago.,最後の引き出しが 5日前にあった,1,1
29332,i think it's probably best to just leave the colonel in the car.,大佐を車の中に置いたままにしておくのがおそらく最善だと思います。,0,0
42798,The individual beads that use the rosary are the name of God,ロザリオを使うの 個々のビーズは神の名です,0,1
58321,I think it's impossible,それは無理だと思う,0,1
23205,"you did things to him, didn't you?",あなたは彼に何かをしましたね？,0,0
4747,that also is a reflection of this world with endless darkness.,あれも また 闇の続く今の世を 表してると言えよう。,1,1
16027,i've ordered something from room service. please eat with me.,ルームサービス取ったんです 一緒に召し上がって,1,1
15125,"pfft! so, these are the video files of professor fairbanks' experiments. he was researching blind obedience.",オレが現場に行きたいんだ これは教授の実験ビデオです 疑わずに従うことが出来るか という研究です,1,1
41937,Why don't you look for a medicine for honey arm wounds?,ハニー 腕の傷の 薬でも探してきたら?,0,1
43869,There are things that you might be interested in.,興味がありそうな物が入ってる。,0,1
6119,i will arrange it.,黄泉さん 獅子王を見せて頂きますカ,1,1
697,you have to emphasize that point.,そこを強調しないと。 はい。,1,1
17166,here is the sheet for ordering a xray.,レントゲンのオーダー用紙 こちらです。,1,1
44124,Wasn't it all serious?,全部 本気だったんじゃないかな?,0,1
21088,wewe should just go.,私たちはただ行くべきです。,0,0
26643,this is not the end,これは終わりではありません,0,0
58619,And Pharaoh.,そして ファラオモン。,0,1
3304,what's the general opinion? who did this? my guess?,じゃ一般的な話として 誰が犯人だと思う?,1,1
24150,and all the owners are adding their cars. it's really exciting.,そして、すべての所有者は自分の車を追加しています。本当にエキサイティングです。,0,0
34498,is no longer alive.,もう生きていません。,0,0
28849,"look, we have a plan.",ほら、計画があります。,0,0
41862,It is necessary to dive deeper into the muscles,それは、筋肉の中により深く飛び込むのに必要です,0,1
15736,impossible impossible impossible impossible impossible impossible impossible impossible,無理! 無理! 無理! 無理! 無理! 無理! 無理! 無理!,1,1
39430,stay on the right track.,正しい軌道に乗ってください。,0,0
21991,at night they get covered in pollen,夜になると花粉に覆われます,0,0
15494,74 white checkmate,白74 チェックメイト 白74 チェックメイト,1,1
19806,woo,ウォー,1,1
58769,It is a start without permission of the secretary,長官 無断発進です,0,1
27099,that means i really don't have to apologize!,それは私が本当に謝罪する必要がないことを意味します！,0,0
4907,in the 21st century,21世紀には,1,1
10511,my mother's already lost a husband.,母はすでに 夫を亡くした,1,1
37431,it was fun and cute!,楽しくてかわいい！,0,0
6261,i get it.,明日だよな?,1,1
20052,i was half responsible.,私は半分責任がありました。,0,0
47114,"I can't help it, it's not your fault",どうしようもなくて あなたの せいじゃないの,0,1
23876,"all units, deploy.",すべてのユニット、展開します。,0,0
59570,The old man looks happy.,老人はなんともうれしそうです。,0,1
10562,he's real.,実在の人物だ,1,1
45404,Take a vacation,休暇を取るといい,0,1
14830,of a disturbing trend in america,私は アメリカの 悪しき風潮に巻き込まれました,1,1
34126,a glass of water?,コップ一杯の水？,0,0
48138,I can't do anything alone,《1人じゃ何もできない》,0,1
30699,but the police are drawing up a warrant for your dna as we speak.,しかし私たちが話しているように、警察はあなたのDNAの令状を作成しています。,0,0
16361,good. what is the state of the american invasion forces?,よし、侵攻軍の状況は?,1,1
